locationId,dateTime,indicatorId,value
3774,2014-12-22T17:22:00,gamma,712
3773,2014-12-25T23:00:00,gamma,161
3774,2014-12-31T11:17:00,gamma,682
3774,2014-12-27T20:02:00,gamma,673
3773,2014-12-30T11:56:00,gamma,167
3774,2014-12-22T20:57:00,gamma,712
3773,2014-12-26T02:00:00,gamma,161
3774,2014-12-26T23:46:00,gamma,678
3774,2014-12-25T08:13:00,gamma,712
3773,2014-12-27T10:55:00,gamma,161
3774,2014-12-29T20:43:00,gamma,712
3774,2014-12-30T09:00:00,gamma,712
3774,2014-12-24T00:47:00,gamma,679
3774,2014-12-31T21:15:00,gamma,712
3774,2014-12-11T14:20:19,gamma,712
3774,2014-12-31T22:26:00,gamma,683
3774,2014-12-26T13:38:00,gamma,679
3774,2014-12-31T22:15:00,gamma,712
3774,2014-12-13T20:27:00,gamma,712
3774,2014-12-28T10:00:00,gamma,679
3774,2014-12-22T22:26:00,gamma,673
3773,2014-12-16T22:27:00,gamma,171
3774,2014-12-29T14:39:00,gamma,679
3773,2014-12-22T21:24:00,gamma,171
3773,2014-12-24T17:02:00,gamma,171
3774,2014-12-25T13:25:00,gamma,683
3773,2014-12-26T21:44:00,gamma,171
3774,2014-12-30T20:00:00,gamma,683
3774,2014-12-18T02:34:00,gamma,687
3774,2014-12-25T06:12:00,gamma,684
3774,2014-12-31T01:08:00,gamma,683
3774,2014-12-25T21:39:00,gamma,684
3773,2014-12-16T00:39:00,gamma,171
3774,2014-12-14T10:07:00,gamma,715
3774,2014-12-28T09:00:00,gamma,684
3774,2014-12-23T11:38:00,gamma,680
3773,2014-12-15T05:24:00,gamma,169
3774,2014-12-23T09:35:00,gamma,715
3774,2014-12-26T12:37:00,gamma,674
3773,2014-12-16T07:45:00,gamma,169
3774,2014-12-27T14:58:00,gamma,715
3774,2014-12-31T20:15:00,gamma,688
3774,2014-12-22T04:10:00,gamma,740
3773,2014-12-24T14:59:00,gamma,169
3774,2014-12-27T04:50:00,gamma,626
3774,2014-12-28T08:00:00,gamma,715
3774,2014-12-23T17:43:00,gamma,691
3774,2014-12-30T10:00:00,gamma,681
3774,2014-12-25T02:00:00,gamma,740
3773,2014-12-20T04:31:00,gamma,170
3773,2014-12-29T01:27:00,gamma,169
3774,2014-12-24T07:00:00,gamma,691
3774,2014-12-31T04:10:00,gamma,685
3774,2014-12-31T16:14:00,gamma,681
3773,2014-12-25T11:00:00,gamma,170
3773,2014-12-29T21:43:00,gamma,169
3774,2014-12-25T17:13:00,gamma,718
3774,2014-12-11T05:20:13,gamma,713
3774,2014-12-26T06:37:00,gamma,691
3774,2014-12-13T10:49:00,gamma,688
3774,2014-12-12T15:50:14,gamma,740
3773,2014-12-30T00:46:00,gamma,170
3773,2014-12-30T07:52:00,gamma,169
3774,2014-12-28T07:00:00,gamma,718
3774,2014-12-26T11:43:00,gamma,713
3774,2014-12-30T16:00:00,gamma,691
3774,2014-12-14T18:14:00,gamma,688
3774,2014-12-16T05:52:00,gamma,742
3774,2014-12-19T07:14:00,gamma,740
3773,2014-12-31T08:13:00,gamma,169
3773,2014-12-12T01:00:12,gamma,169
3774,2014-12-28T14:00:00,gamma,718
3774,2014-12-31T23:28:00,gamma,691
3774,2014-12-30T06:00:00,gamma,688
3774,2014-12-20T00:28:00,gamma,742
3774,2014-12-19T23:34:00,gamma,740
3774,2014-12-30T01:48:00,gamma,718
3774,2014-12-31T06:19:00,gamma,688
3774,2014-12-27T06:52:00,gamma,742
3774,2014-12-21T11:51:00,gamma,740
3774,2014-12-31T14:13:00,gamma,718
3774,2014-12-13T04:43:00,gamma,691
3774,2014-12-22T20:24:00,gamma,681
3774,2014-12-27T12:57:00,gamma,742
3774,2014-12-19T01:09:00,gamma,721
3774,2014-12-25T15:13:00,gamma,695
3774,2014-12-29T11:36:00,gamma,685
3774,2014-12-25T17:28:00,gamma,721
3774,2014-12-14T15:12:00,gamma,718
3774,2014-12-14T05:04:00,gamma,716
3774,2014-12-29T13:43:00,gamma,714
3774,2014-12-30T21:00:00,gamma,695
3773,2014-12-12T01:30:12,gamma,172
3774,2014-12-26T21:45:00,gamma,721
3774,2014-12-15T13:30:00,gamma,716
3774,2014-12-30T12:00:00,gamma,714
3774,2014-12-31T13:18:00,gamma,695
3773,2014-12-12T02:00:13,gamma,172
3774,2014-12-22T02:19:00,gamma,723
3774,2014-12-27T03:49:00,gamma,721
3774,2014-12-18T12:58:00,gamma,716
3774,2014-12-31T15:21:00,gamma,714
3773,2014-12-30T08:53:00,gamma,172
3774,2014-12-26T17:41:00,gamma,723
3774,2014-12-27T16:00:00,gamma,721
3774,2014-12-24T10:00:00,gamma,716
3774,2014-12-21T10:57:00,gamma,698
3774,2014-12-27T19:02:00,gamma,723
